Tag Team,Elo,Max Elo,Min Elo,Number of Matches
"Logan Cruz, Tyshaun Price, & Hermano",1094.9999998556543,1095.0,1094.9999998556543,1
Jon Moxley & The Young Bucks (Matt Jackson & Nick Jackson),1094.9999596799903,1095.0,1094.9999596799903,1
"The Andrade Family Office (Angelico, The Butcher, & The Blade)",1094.9999593003192,1095.0,1094.9999593003192,1
"Rolando Perez, Austin Green, & Donnie Primetime",1094.9987249703086,1095.0,1094.9987249703086,1
"Joey Sweets, Antonio Zambrano, & Jack Tomlinson",1094.9987249703086,1095.0,1094.9987249703086,1
"Nasty Russ, T-Money, & Shawn Cook",1094.9987249703086,1095.0,1094.9987249703086,1
"Marcus Kross, T.I.M., & Patrick Scott",1094.9987249703086,1095.0,1094.9987249703086,1
"The Dark Order (Evil Uno, Alex Reynolds, & Colt Cabana)",1094.9987249690455,1095.0,1094.9987249690455,2
"Andrew Palace, Stone Rockwell, & Mike Magnum",1094.8725050500807,1095.0,1094.8725050500807,1
Rex Lawless & Milk Chocolate (Brandon Watts & Randy Summers),1094.8725050497874,1095.0,1094.8725050497874,1
"Adam Priest, Jake St. Patrick, & Baron Black",1094.8725050494938,1095.0,1094.8725050494938,1
"David Ali, Adam Priest, & Seth Gargis",1094.8725050489068,1095.0,1094.8725050489068,1
"Tony Vega, Aaron Frye, & Angel Fashion",1094.8725050477326,1095.0,1094.8725050477326,1
"Ryzin, Adam Priest, & Vary Morales",1094.8725050459714,1095.0,1094.8725050459714,1
"Foxx Vinyer, Brandon Bullock, & Jameson Ryan",1094.872505043623,1095.0,1094.872505043623,1
Bear Country (Bear Boulder & Bear Bronson) & Mike Verna,1094.872505043623,1095.0,1094.872505043623,1
"Darian Bengston, Davey Vega, & Camaro Jackson",1094.8725050406879,1095.0,1094.8725050406879,1
"Adriel Noctis, Gregory Sharpe, & Matt Brannigan",1094.8725050406879,1095.0,1094.8725050406879,1
