Wrestler,Elo,Max Elo,Min Elo,Number of Matches
Katie Arquette,1094.6150023463058,1095.0,1094.6150023463058,3
Kayla Rossi,2099.2905656088915,2099.2905656088915,1095.0,2
Kayla Sparks,1094.9999999909326,1095.0,1094.9999999909326,3
Kelsey Heather,1094.9069673388888,1095.0,1094.9069673388888,4
Kelsey Raegan,1090.9515316531433,1095.0,1090.9515316531433,2
Kenzie Paige,1094.9971781766378,1095.0,1094.9971781766378,5
Kiah Dream,412.4945769160413,1095.0,412.4945769160413,2
Kiera Hogan,1989.0939002713965,1989.1167288273869,1094.7005560927257,17
Killa Kate,1094.9959500439677,1095.0,1094.9959500439677,1
KiLynn King,1264.3695751449116,1264.3695751449116,100.0,40
La Rosa Negra,1094.9901640917228,1095.0,1094.9901640917228,3
Labrava,1094.9957672649566,1095.0,1094.9957672649566,1
Lady Frost,962.4385253862358,1095.0,962.4385253862358,1
Layna Lennox,1094.9999999590511,1095.0,1094.9999999590511,2
Laynie Luck,1094.996422245605,1095.0,1094.996422245605,5
Lei'D Tapa,1094.8542780936664,1095.0,1094.8542780936664,1
Leila Grey,1049.1092507942537,1095.0,527.9042448282925,20
Lindsay Snow,811.9168377108749,1095.0,811.9168377108749,4
LMK,1094.9994259676694,1095.0,1094.9994259676694,2
Machiko,891.1121584943995,1095.0,891.1121584943995,1
Madi Maxx,1094.9999986956348,1095.0,1094.9999986956348,1
Madi Wrenkowski,2672.390492202241,2699.777795938682,462.07556251517497,17
Mafiosa,601.3865743831307,1095.0,601.3865743831307,2
Maki Itoh,100.0,1095.0,100.0,3
Marina Shafir,3544.9593176143003,3549.062971397174,1095.0,18
Marina Tucker,1094.999259120184,1095.0,1094.999259120184,3
Marti Daniels,1090.9661269087858,1095.0,1090.9661269087858,2
Masha Slamovich,1094.9999988405643,1095.0,1094.9999988405643,2
Max the Impaler,1095.0,1095.0,1095.0,1
Mazzerati,1090.2512283112949,1095.0,1090.2512283112949,2
Megan Bayne,1095.0234097272673,1095.0234097272673,1094.9999999170684,4
Megan Meyers,198.99976536697875,1095.0,198.99976536697875,3
Mei Suruga,1094.9999999999998,1095.0,1094.9999999999998,1
Miranda Alize,100.0,1095.0,100.0,5
Miranda Gordy,1094.9994649682396,1095.0,1094.9994649682396,2
Missa Kate,1094.9999744640488,1095.0,1094.9999744640488,5
Miyu Yamashita,5119.591556120727,5126.999999999996,1095.0,2
