Tag Team,Elo,Max Elo,Min Elo,Number of Matches
The Hardy Family Office (Matt Hardy & Jora Johl),2103.0,2103.0,1095.0,1
Dustin Rhodes & Sonny Kiss,2103.0,2103.0,1095.0,1
Hardy Family Office (Angelico & Isiah Kassidy),2103.0,2103.0,1095.0,1
The Nightmare Family (Dustin Rhodes & Lee Johnson),2103.0,2103.0,1095.0,1
Jon Moxley & Hiroshi Tanahashi,2103.0,2103.0,1095.0,1
The Nightmare Family (Lee Johnson & Aaron Solow),2102.9956153089024,2102.9956153089024,1095.0,1
The Dark Order (Evil Uno & Colt Cabana),2102.9008453827073,2103.0000035837734,1095.0,3
Team Taz (Brian Cage & Powerhouse Hobbs),2102.8866711363194,2103.0,1095.0,2
Cezar Bononi & Tiger Ruas,2102.8866711363194,2103.0,1095.0,2
The Factory (QT Marshall & Nick Comoroto),2102.824642767849,2103.0,1095.0,4
Cody & Matt Cardona,2100.5077534908896,2100.5077534908896,1095.0,1
The Butcher and The Blade,2061.2799921708843,2177.43290873558,1095.0,37
Death Triangle (PAC & Rey Fénix),1991.8233822927848,1991.8234367758569,1094.8997400754492,4
The Wingmen (Ryan Nemeth & Cezar Bononi),1991.1224832654398,1991.1233666409762,1094.8725050283595,5
MJF & Wardlow,1991.0015090441316,1991.0015090441316,1094.9998162020984,2
Adam Cole & Bobby Fish,1991.0002637151795,1991.0002637151795,1094.9999678801191,2
Darby Allin & Jon Moxley,1991.0,1991.0,1095.0,2
Jurassic Express (Luchasaurus & Marko Stunt),1989.826129345209,1989.826129345209,1095.0,4
The Varsity Blonds (Brian Pillman Jr. & Griff Garrison),1954.334110251159,2104.8153868754666,1095.0,38
The Nightmare Family (Lee Johnson & Brock Anderson),1948.279247262749,2103.0,1095.0,5
Chaos Project (Luther & Serpentico),1810.106781969915,2102.9999981390024,1095.0,39
The Factory (Nick Comoroto & Aaron Solo),1641.3936050264015,1655.8798818597118,1094.8151196412728,17
Bishamon (YOSHI-HASHI & Hirooki Goto),1095.0000052669577,1095.0000052669666,1095.0,2
Pat Brink & Myles Hawkins,1095.0,1095.0,1095.0,1
Stallion Rogers & Anthony Greene,1095.0,1095.0,1095.0,1
Jordan Costa & Julius Coleman,1095.0,1095.0,1095.0,1
Lee Moriarty & LSG,1095.0,1095.0,1095.0,1
Toa Liona & Mike Reed,1095.0,1095.0,1095.0,1
Zach Nystrom & Elijah Dean,1095.0,1095.0,1095.0,1
Samuray Del Sol & Aero Star,1095.0,1095.0,1095.0,1
Waves & Curls (Jaylen Brandyn & Traevon Jordan),1095.0,1095.0,1095.0,1
Ray Rosas & Ryzin,1095.0,1095.0,1095.0,1
Mike Fowler & Logan LaRoux,1095.0,1095.0,1095.0,1
JR Miller & Marcus Kross,1095.0,1095.0,1095.0,1
